proxy,protocol,latency_ms,https,exit_ip,checks_passed,checks_total
13.206.73.237:41236,http,699,false,13.206.73.237,2,3
15.237.108.20:54588,http,711,false,15.237.108.20,2,3
16.54.225.12:4450,http,726,false,16.54.225.12,2,3
18.228.228.159:43266,http,726,false,18.228.228.159,2,3
43.209.173.229:39706,http,727,false,43.209.173.229,1,3
80.74.54.148:3128,http,730,false,156.67.171.21,3,3
18.183.174.103:8254,http,750,false,18.183.174.103,1,3
13.51.44.23:36891,http,765,false,13.51.44.23,1,3
18.191.191.74:16859,http,779,false,18.191.191.74,1,3
18.231.214.206:8097,http,784,false,18.231.214.206,2,3
103.216.50.11:8080,http,795,false,103.216.50.11,3,3
199.7.149.96:3128,http,800,true,199.7.149.96,3,3
52.195.147.51:12092,http,802,false,52.195.147.51,2,3
34.207.239.230:11467,http,810,false,34.207.239.230,2,3
64.112.184.210:3128,http,811,false,64.112.184.210,3,3
51.17.130.167:9898,http,811,false,51.17.130.167,1,3
78.12.129.100:4321,http,818,false,78.12.129.100,1,3
35.183.29.62:13918,http,832,false,35.183.29.62,1,3
54.180.117.151:443,http,833,false,54.180.117.151,3,3
98.130.142.218:8123,http,847,false,98.130.142.218,1,3
202.28.194.139:31280,http,848,false,202.28.194.139,3,3
54.246.244.235:26013,http,849,false,54.246.244.235,1,3
78.12.192.233:14999,http,851,false,78.12.192.233,1,3
203.19.38.114:1080,http,852,false,203.19.38.114,3,3
183.215.23.242:9091,http,855,false,183.215.23.242,3,3
167.233.89.17:1084,http,858,false,23.234.117.95,2,3
140.238.32.108:3128,http,859,true,140.238.32.108,3,3
45.194.41.143:8080,http,865,false,45.194.41.143,3,3
45.194.41.103:8080,http,866,false,45.194.41.103,2,3
34.44.49.215:80,http,868,false,136.115.25.155,3,3
131.108.232.201:8080,http,869,false,131.108.232.201,2,3
15.229.231.89:27806,http,873,false,15.229.231.89,3,3
47.81.56.193:8888,http,895,true,47.81.56.193,3,3
15.160.116.17:80,http,903,false,15.160.116.17,2,3
56.155.73.159:14745,http,905,false,56.155.73.159,1,3
103.162.30.156:3452,http,910,false,103.162.30.156,3,3
178.140.3.161:5678,http,915,false,178.140.3.161,3,3
43.210.105.134:46726,http,917,false,43.210.105.134,1,3
195.26.224.135:80,http,944,false,195.26.224.135,3,3
16.52.81.236:47416,http,953,false,16.52.81.236,2,3
142.93.202.130:3128,http,959,false,142.93.202.130,2,3
51.16.42.227:8097,http,963,false,51.16.42.227,1,3
18.188.53.175:8928,http,968,false,18.188.53.175,2,3
51.16.4.39:18497,http,968,false,51.16.4.39,3,3
35.182.12.78:725,http,993,false,35.182.12.78,2,3
35.78.212.217:58837,http,1003,false,35.78.212.217,1,3
176.106.241.50:80,http,1073,false,176.106.241.50,2,3
65.1.240.131:3001,http,1090,false,13.203.138.32,3,3
91.202.185.69:80,http,1095,false,91.202.185.69,2,3
34.134.231.117:3129,http,1141,true,34.134.231.117,3,3
122.52.157.170:8082,http,1166,false,124.105.226.89,1,3
195.114.209.50:80,http,1169,false,195.114.209.50,3,3
35.183.127.162:41780,http,1179,false,35.183.127.162,2,3
157.15.63.126:8080,http,1196,false,157.15.63.126,1,3
203.95.198.115:8080,http,1205,false,203.95.198.115,3,3
54.67.110.244:4106,http,1219,false,54.67.110.244,1,3
16.112.160.2:58876,http,1228,false,16.112.160.2,1,3
160.238.65.3:3128,http,1246,false,160.238.65.2,2,3
34.207.102.197:53895,http,1255,false,34.207.102.197,2,3
16.52.81.236:31719,http,1259,false,16.52.81.236,2,3
202.133.88.173:80,http,1260,false,202.133.88.173,3,3
3.231.160.150:6661,http,1270,false,3.231.160.150,1,3
13.60.60.167:39077,http,1272,false,13.60.60.167,1,3
13.38.217.179:55503,http,1285,false,13.38.217.179,1,3
56.155.73.215:9898,http,1295,false,56.155.73.215,1,3
3.121.130.230:48007,http,1299,false,3.121.130.230,1,3
51.34.28.236:13897,http,1301,false,51.34.28.236,2,3
34.207.102.197:20845,http,1323,false,34.207.102.197,2,3
103.211.103.170:3128,http,1326,false,103.211.103.170,2,3
65.2.160.130:24926,http,1331,false,65.2.160.130,2,3
113.204.79.230:9091,http,1333,false,113.204.79.230,3,3
18.166.56.240:24566,http,1336,false,18.166.56.240,2,3
43.203.140.58:9050,http,1340,false,43.203.140.58,2,3
219.65.73.81:80,http,1346,false,136.232.78.138,3,3
54.180.117.151:6616,http,1351,false,54.180.117.151,1,3
16.192.185.227:43753,http,1362,false,16.192.185.227,2,3
35.180.138.2:4228,http,1363,false,35.180.138.2,2,3
3.250.220.74:45249,http,1366,false,3.250.220.74,2,3
54.46.48.167:20652,http,1371,false,54.46.48.167,2,3
43.205.242.234:41766,http,1375,false,43.205.242.234,1,3
13.126.183.60:18006,http,1377,false,13.126.183.60,1,3
16.26.143.154:4238,http,1383,false,16.26.143.154,2,3
108.131.109.106:25109,http,1400,false,108.131.109.106,1,3
13.206.73.237:47299,http,1407,false,13.206.73.237,2,3
218.252.192.228:80,http,1465,false,218.252.192.228,2,3
219.148.171.178:9445,http,1488,false,219.148.171.178,2,3
218.60.175.168:22222,http,1494,false,218.60.175.168,1,3
34.207.239.230:12367,http,1531,false,34.207.239.230,2,3
18.163.182.106:45877,http,1544,false,18.163.182.106,1,3
160.238.65.2:3128,http,1553,false,160.238.65.2,2,3
160.238.65.6:3128,http,1555,false,160.238.65.2,2,3
16.18.37.186:35431,http,1560,false,16.18.37.186,2,3
176.61.151.123:80,http,1605,false,176.61.151.122,3,3
51.20.109.37:10772,http,1618,false,51.20.109.37,1,3
61.158.175.38:9002,http,1630,false,61.158.175.38,3,3
18.231.126.121:59287,http,1662,false,18.231.126.121,1,3
212.113.100.114:8089,http,1674,false,212.113.100.114,1,3
3.10.170.234:3128,http,1698,false,3.10.170.234,3,3
43.209.173.229:17990,http,1702,false,43.209.173.229,1,3
120.27.224.64:3129,http,1704,false,120.27.224.64,2,3
101.71.143.237:8092,http,1710,false,101.71.143.237,3,3
35.152.37.123:36485,http,1773,false,35.152.37.123,1,3
18.222.132.180:28288,http,1796,false,18.222.132.180,1,3
15.152.75.215:38331,http,1827,false,15.152.75.215,1,3
44.200.234.67:38600,http,1847,false,44.200.234.67,1,3
210.211.113.36:80,http,1855,true,210.211.113.36,2,3
54.180.117.151:9850,http,1904,false,54.180.117.151,1,3
15.160.67.218:4678,http,1927,false,15.160.67.218,1,3
103.43.191.71:8888,http,1943,false,103.43.191.71,2,3
35.78.212.217:18265,http,1998,false,35.78.212.217,1,3
18.61.3.91:54945,http,2006,false,18.61.3.91,1,3
51.34.28.236:1080,http,2024,false,51.34.28.236,2,3
18.190.253.157:7347,http,2026,false,18.190.253.157,1,3
78.14.15.193:43114,http,2026,false,78.14.15.193,1,3
183.110.216.128:8090,http,2040,false,183.110.216.129,3,3
43.200.179.23:9002,http,2042,false,43.200.179.23,1,3
54.255.249.161:8808,http,2070,false,54.255.249.161,1,3
108.131.152.118:52719,http,2083,false,108.131.152.118,1,3
43.200.179.23:8197,http,2103,false,43.200.179.23,1,3
43.198.22.151:19417,http,2105,false,43.198.22.151,1,3
152.53.183.107:8081,http,2125,true,152.53.183.107,3,3
